OrderID,Order Date,CustomerID,Channel,Region,Status,Total
ORD-101751,2025-12-13,CUST-6367,Retail,West,Fulfilled,162.00
ORD-100061,2025-04-11,CUST-9542,Wholesale,East,Fulfilled,1862.00
ORD-100522,2025-06-28,CUST-9373,Online,North,Refunded,514.00
ORD-102592,2026-05-02,CUST-9521,Online,North,Fulfilled,264.00
ORD-100247,2025-05-12,CUST-2779,Wholesale,North,Fulfilled,860.00
ORD-102161,2026-02-20,CUST-6801,Wholesale,North,Fulfilled,218.00
ORD-102780,2026-06-01,CUST-3818,Wholesale,North,Fulfilled,662.00
ORD-101681,2025-12-05,CUST-4032,Wholesale,East,Refunded,1255.00
ORD-101790,2025-12-18,CUST-2496,Wholesale,South,Cancelled,1161.00
ORD-100326,2025-05-26,,Retail,North,Fulfilled,1487.00
ORD-100599,2025-07-09,CUST-7217,Retail,,Fulfilled,584.00
ORD-101322,2025-10-24,CUST-1949,Wholesale,North,Cancelled,803.00
ORD-100821,2025-08-08,CUST-9402,Retail,East,Fulfilled,1016.00
ORD-102448,2026-04-07,,Retail,North,Fulfilled,2195.00
ORD-101005,2025-09-02,CUST-5677,Online,North,Cancelled,2559.00
ORD-101343,2025-10-26,CUST-6234,Wholesale,East,Fulfilled,784.00
ORD-100997,2025-08-31,CUST-6456,Wholesale,West,Refunded,530.00
ORD-101050,2025-09-09,CUST-9115,Wholesale,South,Refunded,207.00
ORD-100771,2025-08-01,CUST-9628,Wholesale,West,Refunded,459.00
ORD-100731,2025-07-27,,Retail,,Fulfilled,2500.00
ORD-100355,2025-05-31,CUST-5959,Online,East,Cancelled,1006.00
ORD-100449,2025-06-16,CUST-2932,Retail,North,Fulfilled,544.00
ORD-101183,2025-10-01,CUST-6805,Retail,West,Cancelled,572.00
ORD-102822,2026-06-08,CUST-7504,Retail,North,Fulfilled,1649.00
ORD-102109,2026-02-11,CUST-3782,Retail,East,Refunded,351.00
ORD-100509,2025-06-25,CUST-2065,Wholesale,West,Refunded,183.00
ORD-100968,2025-08-28,CUST-5117,Wholesale,North,Fulfilled,625.00
ORD-101165,2025-09-28,CUST-8893,Retail,West,Fulfilled,1958.00
ORD-102695,2026-05-19,CUST-7446,Online,North,Fulfilled,645.00
ORD-102605,2026-05-03,CUST-5796,Retail,West,Fulfilled,793.00
ORD-100574,2025-07-05,CUST-7551,Retail,West,Fulfilled,1162.00
ORD-101041,2025-09-08,CUST-8007,Retail,North,Fulfilled,1085.00
ORD-102653,2026-05-12,CUST-6154,Online,South,Fulfilled,678.00
ORD-100564,2025-07-04,CUST-6228,Wholesale,South,Refunded,196.00
ORD-102716,2026-05-22,CUST-3186,Wholesale,North,Refunded,1150.00
ORD-100651,2025-07-16,CUST-4573,Retail,South,Cancelled,1629.00
ORD-102924,2026-06-23,CUST-6013,Wholesale,East,Fulfilled,543.00
ORD-101332,2025-10-25,CUST-8475,Retail,South,Fulfilled,441.00
ORD-101431,2025-11-07,CUST-2479,Wholesale,West,Fulfilled,840.00
ORD-100785,2025-08-03,CUST-8036,Online,South,Fulfilled,1022.00
ORD-101513,2025-11-16,CUST-6426,Online,South,Fulfilled,793.00
ORD-100334,2025-05-27,CUST-7396,Wholesale,West,Fulfilled,787.00
ORD-101961,2026-01-12,CUST-6728,Wholesale,North,Refunded,384.00
ORD-102438,2026-04-05,CUST-8428,Online,East,Fulfilled,1173.00
ORD-102599,2026-05-03,CUST-9464,Retail,North,Fulfilled,441.00
ORD-102710,2026-05-21,CUST-8900,Retail,,Fulfilled,324.00
ORD-100458,2025-06-17,CUST-1533,Online,West,Fulfilled,876.00
ORD-100560,2025-07-03,CUST-2814,Wholesale,West,Refunded,72.00
ORD-102893,2026-06-18,CUST-5438,Retail,West,Refunded,1305.00
ORD-100341,2025-05-29,CUST-4093,Online,North,Fulfilled,1411.00
ORD-101217,2025-10-07,CUST-9336,Retail,North,Fulfilled,477.00
ORD-102212,2026-02-28,CUST-4480,Retail,West,Fulfilled,1452.00
ORD-100855,2025-08-13,CUST-4098,Wholesale,North,Fulfilled,727.00
ORD-100350,2025-05-30,CUST-5370,Online,West,Fulfilled,787.00
ORD-102589,2026-05-01,CUST-1691,Wholesale,East,Fulfilled,515.00
ORD-100422,2025-06-11,CUST-4201,Retail,East,Fulfilled,463.00
ORD-100942,2025-08-24,CUST-3582,Wholesale,East,Cancelled,496.00
ORD-102802,2026-06-05,CUST-2355,Wholesale,North,Refunded,133.00
ORD-100561,2025-07-04,CUST-1730,Online,North,Fulfilled,1074.00
ORD-102577,2026-04-29,CUST-5510,Online,South,Fulfilled,1629.00
ORD-102052,2026-02-01,CUST-6828,Online,,Fulfilled,727.00
ORD-101873,2025-12-27,CUST-1249,Wholesale,East,Cancelled,202.00
ORD-100060,2025-04-11,CUST-1927,Online,South,Refunded,694.00
ORD-102343,2026-03-21,CUST-4060,Wholesale,West,Refunded,1579.00
ORD-101867,2025-12-27,CUST-7815,Wholesale,North,Fulfilled,416.00
ORD-101548,2025-11-20,CUST-4359,Wholesale,South,Fulfilled,198.00
ORD-100284,2025-05-19,CUST-9544,Online,North,Fulfilled,1232.00
ORD-102186,2026-02-24,CUST-2661,Wholesale,South,Fulfilled,404.00
ORD-101125,2025-09-22,CUST-6159,Retail,South,Refunded,264.00
ORD-102883,2026-06-17,CUST-3311,Retail,South,Fulfilled,1470.00
ORD-102266,2026-03-09,CUST-6662,Online,South,Refunded,148.00
ORD-101492,2025-11-14,CUST-4576,Retail,North,Cancelled,1071.00
ORD-102756,2026-05-28,CUST-8030,Wholesale,West,Cancelled,344.00
ORD-101825,2025-12-22,CUST-6332,Wholesale,North,Refunded,799.00
ORD-102178,2026-02-22,CUST-6336,Wholesale,West,Refunded,466.00
ORD-100467,2025-06-19,CUST-5446,Retail,South,Fulfilled,894.00
ORD-100621,2025-07-12,CUST-2932,Wholesale,North,Fulfilled,331.00
ORD-101508,2025-11-15,CUST-5191,Wholesale,West,Fulfilled,911.00
ORD-102769,2026-05-30,CUST-9590,Retail,East,Fulfilled,1800.00
ORD-100237,2025-05-10,CUST-3693,Online,West,Fulfilled,1450.00
ORD-100510,2025-06-25,CUST-3717,Retail,West,Cancelled,1548.00
ORD-100369,2025-06-02,CUST-5964,Online,East,Fulfilled,1230.00
ORD-101823,2025-12-21,CUST-6472,Retail,West,Fulfilled,258.00
ORD-102337,2026-03-21,CUST-8577,Retail,North,Cancelled,923.00
ORD-101442,2025-11-08,CUST-6813,Wholesale,West,Fulfilled,1288.00
ORD-102326,2026-03-19,CUST-7040,Wholesale,North,Fulfilled,1354.00
ORD-102430,2026-04-04,CUST-3657,Online,East,Cancelled,1473.00
ORD-101511,2025-11-16,CUST-5885,Wholesale,North,Cancelled,719.00
ORD-102015,2026-01-25,CUST-7448,Retail,North,Fulfilled,1775.00
ORD-100991,2025-08-31,CUST-2036,Retail,North,Fulfilled,269.00
ORD-100134,2025-04-23,CUST-6007,Online,South,Fulfilled,984.00
ORD-100724,2025-07-26,CUST-8245,Retail,East,Fulfilled,772.00
ORD-102607,2026-05-04,CUST-9983,Wholesale,South,Fulfilled,746.00
ORD-102038,2026-01-30,CUST-4794,Wholesale,North,Refunded,1014.00
ORD-102563,2026-04-27,CUST-9421,Retail,North,Fulfilled,207.00
ORD-102951,2026-06-27,CUST-5303,Retail,West,Fulfilled,1170.00
ORD-101229,2025-10-09,CUST-5028,Retail,North,Refunded,142.00
ORD-100818,2025-08-08,CUST-2182,Online,North,Cancelled,223.00
ORD-102157,2026-02-19,CUST-5319,Retail,East,Fulfilled,1458.00
ORD-102830,2026-06-09,CUST-9247,Wholesale,South,Fulfilled,310.00
ORD-100835,2025-08-10,CUST-9220,Online,South,Fulfilled,1239.00
ORD-100956,2025-08-26,CUST-2273,Retail,East,Fulfilled,776.00
ORD-101863,2025-12-26,CUST-9055,Wholesale,East,Fulfilled,1004.00
ORD-100686,2025-07-21,CUST-5917,Wholesale,North,Refunded,674.00
ORD-102272,2026-03-10,CUST-9449,Retail,South,Fulfilled,734.00
ORD-102670,2026-05-15,CUST-9074,Online,South,Fulfilled,1550.00
ORD-101251,2025-10-12,CUST-5363,Wholesale,South,Fulfilled,601.00
ORD-100423,2025-06-11,CUST-6452,Wholesale,West,Fulfilled,640.00
ORD-101940,2026-01-07,CUST-8040,Online,North,Fulfilled,979.00
ORD-100722,2025-07-26,CUST-3738,Wholesale,South,Fulfilled,477.00
ORD-102647,2026-05-11,CUST-5530,Wholesale,South,Fulfilled,244.00
ORD-102383,2026-03-28,CUST-5728,Wholesale,South,Fulfilled,1221.00
ORD-101613,2025-11-27,CUST-6618,Wholesale,West,Fulfilled,1406.00
ORD-100775,2025-08-02,CUST-3870,Retail,South,Refunded,1813.00
ORD-102113,2026-02-12,CUST-4375,Online,South,Fulfilled,2473.00
ORD-102565,2026-04-27,CUST-4953,Retail,South,Cancelled,511.00
ORD-102677,2026-05-16,CUST-3974,Wholesale,,Fulfilled,478.00
ORD-101048,2025-09-09,CUST-9476,Wholesale,North,Fulfilled,581.00
ORD-102053,2026-02-01,CUST-8963,Wholesale,West,Refunded,2306.00
ORD-101993,2026-01-19,CUST-1872,Retail,East,Refunded,281.00
ORD-101196,2025-10-03,CUST-1374,Online,West,Fulfilled,974.00
ORD-101889,2025-12-29,CUST-5245,Online,North,Fulfilled,575.00
ORD-100862,2025-08-14,CUST-8480,Retail,North,Cancelled,1305.00
ORD-101652,2025-12-01,CUST-4296,Retail,West,Fulfilled,1209.00
ORD-102439,2026-04-05,CUST-8228,Retail,West,Fulfilled,1257.00
ORD-102168,2026-02-21,CUST-1608,Online,South,Refunded,727.00
ORD-101389,2025-11-02,CUST-3725,Online,South,Fulfilled,295.00
ORD-100962,2025-08-27,CUST-5049,Retail,South,Cancelled,446.00
ORD-101288,2025-10-18,CUST-6275,Online,West,Cancelled,245.00
ORD-101192,2025-10-03,CUST-7626,Online,South,Refunded,936.00
ORD-101400,2025-11-03,CUST-2690,Online,East,Fulfilled,1065.00
ORD-102715,2026-05-22,CUST-9540,Wholesale,North,Fulfilled,496.00
ORD-102131,2026-02-15,CUST-4910,Retail,North,Fulfilled,623.00
ORD-101475,2025-11-12,CUST-3174,Retail,North,Cancelled,747.00
ORD-101284,2025-10-18,CUST-2532,Online,North,Fulfilled,1023.00
ORD-100947,2025-08-25,CUST-8857,Retail,North,Fulfilled,1596.00
ORD-101582,2025-11-23,CUST-2534,Online,West,Fulfilled,2136.00
ORD-101566,2025-11-22,CUST-4393,Wholesale,South,Fulfilled,257.00
ORD-102472,2026-04-11,CUST-3613,Wholesale,East,Fulfilled,510.00
ORD-101778,2025-12-16,,Retail,West,Fulfilled,2315.00
ORD-101963,2026-01-12,CUST-2316,Online,South,Fulfilled,500.00
ORD-101716,2025-12-09,CUST-7972,Online,South,Cancelled,540.00
ORD-101956,2026-01-10,,Retail,West,Cancelled,863.00
ORD-101283,2025-10-18,CUST-8609,Retail,North,Fulfilled,1256.00
ORD-101348,2025-10-27,CUST-4570,Wholesale,South,Cancelled,386.00
ORD-100561,2025-07-04,CUST-1730,Online,North,Fulfilled,1074.00
ORD-101479,2025-11-12,CUST-5927,Retail,East,Refunded,1352.00
ORD-101133,2025-09-23,CUST-8763,Wholesale,West,Cancelled,665.00
ORD-102466,2026-04-10,CUST-5942,Wholesale,West,Fulfilled,1004.00
ORD-102367,2026-03-25,CUST-6651,Retail,South,Fulfilled,1371.00
ORD-100777,2025-08-02,CUST-6087,Online,East,Fulfilled,308.00
ORD-100761,2025-07-31,CUST-9511,Wholesale,South,Refunded,1060.00
ORD-102763,2026-05-30,CUST-3417,Wholesale,North,Refunded,1268.00
ORD-102263,2026-03-08,CUST-4838,Online,West,Fulfilled,515.00
ORD-101663,2025-12-03,CUST-5784,Wholesale,South,Cancelled,487.00
ORD-101341,2025-10-26,CUST-4217,Retail,South,Fulfilled,1214.00
ORD-102892,2026-06-18,CUST-3566,Retail,West,Fulfilled,1879.00
ORD-100624,2025-07-12,CUST-7262,Wholesale,East,Fulfilled,1243.00
ORD-101014,2025-09-03,CUST-2847,Wholesale,West,Fulfilled,1661.00
ORD-100746,2025-07-29,CUST-7711,Wholesale,South,Cancelled,888.00
ORD-102025,2026-01-27,CUST-3988,Online,North,Fulfilled,951.00
ORD-101419,2025-11-06,CUST-6266,Online,North,Fulfilled,903.00
ORD-100550,2025-07-02,CUST-7606,Wholesale,South,Fulfilled,455.00
ORD-101374,2025-10-31,CUST-9063,Wholesale,West,Fulfilled,442.00
ORD-101846,2025-12-24,CUST-4506,Retail,South,Fulfilled,407.00
ORD-101573,2025-11-22,CUST-5487,Retail,West,Cancelled,177.00
ORD-100157,2025-04-27,CUST-9451,Online,North,Fulfilled,1848.00
ORD-100228,2025-05-09,CUST-8698,Wholesale,South,Fulfilled,581.00
ORD-100648,2025-07-16,CUST-9619,Online,North,Cancelled,597.00
ORD-102426,2026-04-04,CUST-7075,Wholesale,North,Fulfilled,632.00
ORD-100583,2025-07-06,CUST-3545,Retail,West,Fulfilled,653.00
ORD-100795,2025-08-04,CUST-9717,Online,West,Fulfilled,2139.00
ORD-101228,2025-10-08,CUST-9405,Wholesale,West,Refunded,285.00
ORD-102003,2026-01-22,CUST-9350,Wholesale,South,Cancelled,177.00
ORD-100487,2025-06-22,CUST-2733,Wholesale,South,Fulfilled,837.00
ORD-102568,2026-04-27,CUST-7291,Online,West,Fulfilled,1193.00
ORD-100984,2025-08-30,CUST-7588,Online,,Fulfilled,245.00
ORD-102476,2026-04-12,CUST-4772,Online,North,Fulfilled,268.00
ORD-100491,2025-06-23,CUST-2019,Retail,North,Fulfilled,118.00
ORD-102643,2026-05-10,CUST-4707,Online,West,Fulfilled,449.00
ORD-102219,2026-03-01,CUST-7655,Online,West,Fulfilled,573.00
ORD-101198,2025-10-04,CUST-5709,Retail,South,Fulfilled,532.00
ORD-100498,2025-06-24,CUST-4823,Retail,North,Fulfilled,505.00
ORD-100475,2025-06-20,CUST-5955,Retail,West,Fulfilled,859.00
ORD-101151,2025-09-26,CUST-8106,Retail,West,Refunded,678.00
ORD-101671,2025-12-04,CUST-4178,Retail,South,Fulfilled,455.00
ORD-100720,2025-07-26,CUST-8206,Wholesale,North,Fulfilled,927.00
ORD-101724,2025-12-10,CUST-8552,Retail,South,Fulfilled,591.00
ORD-100297,2025-05-21,CUST-5921,Retail,East,Refunded,580.00
ORD-102799,2026-06-04,CUST-4666,Retail,West,Fulfilled,2248.00
ORD-102835,2026-06-10,CUST-2909,Wholesale,South,Fulfilled,520.00
ORD-100302,2025-05-22,CUST-5645,Retail,East,Fulfilled,768.00
ORD-101709,2025-12-08,CUST-2548,Wholesale,East,Refunded,674.00
ORD-100251,2025-05-13,CUST-2948,Retail,North,Refunded,1221.00
ORD-102921,2026-06-22,CUST-6887,Retail,West,Cancelled,875.00
ORD-101033,2025-09-06,CUST-6015,Wholesale,West,Cancelled,535.00
ORD-100647,2025-07-15,CUST-6136,Retail,West,Cancelled,176.00
ORD-100027,2025-04-05,CUST-4980,Wholesale,South,Cancelled,1563.00
ORD-100264,2025-05-15,CUST-3930,Retail,South,Fulfilled,1032.00
ORD-101378,2025-11-01,CUST-8930,Online,South,Fulfilled,580.00
ORD-102261,2026-03-08,CUST-5803,Wholesale,South,Refunded,1709.00
ORD-101728,2025-12-10,CUST-8494,Wholesale,West,Fulfilled,1463.00
ORD-102458,2026-04-09,CUST-2018,Online,North,Fulfilled,1035.00
ORD-102166,2026-02-21,CUST-1119,Retail,North,Fulfilled,1322.00
ORD-100616,2025-07-11,CUST-2042,Wholesale,East,Fulfilled,900.00
ORD-101387,2025-11-02,CUST-1840,Online,South,Fulfilled,1663.00
ORD-100824,2025-08-09,CUST-3927,Wholesale,North,Refunded,1892.00
ORD-101502,2025-11-15,CUST-7971,Wholesale,South,Fulfilled,422.00
ORD-101303,2025-10-20,CUST-5166,Wholesale,West,Fulfilled,354.00
ORD-101212,2025-10-06,CUST-4841,Retail,South,Fulfilled,514.00
ORD-100575,2025-07-05,CUST-6206,Wholesale,West,Fulfilled,193.00
ORD-100813,2025-08-07,CUST-4397,Online,South,Fulfilled,563.00
ORD-102027,2026-01-27,CUST-2539,Wholesale,South,Fulfilled,545.00
ORD-102206,2026-02-28,CUST-5480,Wholesale,North,Fulfilled,725.00
ORD-100470,2025-06-19,CUST-2936,Retail,West,Fulfilled,750.00
ORD-100697,2025-07-22,CUST-8540,Retail,East,Cancelled,399.00
ORD-101971,2026-01-14,CUST-6856,Retail,North,Fulfilled,237.00
ORD-102812,2026-06-06,CUST-3207,Wholesale,East,Fulfilled,1309.00
ORD-102054,2026-02-01,CUST-6893,Online,West,Fulfilled,912.00
ORD-101023,2025-09-05,CUST-4124,Retail,North,Fulfilled,948.00
ORD-102870,2026-06-15,CUST-7569,Online,South,Fulfilled,1671.00
ORD-101068,2025-09-12,CUST-6608,Online,West,Fulfilled,723.00
ORD-100779,2025-08-02,CUST-3870,Online,West,Refunded,1223.00
ORD-100139,2025-04-24,CUST-1430,Online,South,Cancelled,605.00
ORD-100405,2025-06-08,CUST-8844,Online,East,Fulfilled,1125.00
ORD-100226,2025-05-09,CUST-1169,Retail,North,Refunded,1863.00
ORD-100071,2025-04-13,CUST-8316,Retail,North,Fulfilled,1182.00
ORD-102376,2026-03-27,CUST-2826,Wholesale,North,Fulfilled,606.00
ORD-100893,2025-08-17,CUST-7302,Online,West,Cancelled,288.00
ORD-101623,2025-11-29,CUST-9090,Wholesale,North,Fulfilled,177.00
ORD-100610,2025-07-10,CUST-1917,Wholesale,West,Cancelled,392.00
ORD-101126,2025-09-22,CUST-1895,Wholesale,East,Refunded,496.00
ORD-101243,2025-10-11,CUST-5160,Retail,South,Cancelled,511.00
ORD-101639,2025-11-30,CUST-7192,Wholesale,South,Fulfilled,1591.00
ORD-102511,2026-04-18,CUST-2435,Wholesale,North,Fulfilled,1714.00
ORD-100038,2025-04-07,CUST-3008,Online,North,Fulfilled,1908.00
ORD-100990,2025-08-31,CUST-2047,Online,North,Cancelled,556.00
ORD-100629,2025-07-13,CUST-4926,Online,South,Cancelled,608.00
ORD-101141,2025-09-25,CUST-2004,Online,South,Fulfilled,1214.00
ORD-100442,2025-06-15,CUST-2542,Wholesale,North,Fulfilled,656.00
ORD-102503,2026-04-16,CUST-5926,Retail,West,Refunded,1581.00
ORD-101630,2025-11-29,CUST-1235,Wholesale,East,Fulfilled,202.00
ORD-101690,2025-12-06,CUST-1851,Online,South,Fulfilled,217.00
ORD-102037,2026-01-29,CUST-8772,Online,West,Cancelled,550.00
ORD-102400,2026-03-31,CUST-2686,Wholesale,North,Refunded,1039.00
ORD-100280,2025-05-18,CUST-3734,Online,South,Fulfilled,605.00
ORD-101625,2025-11-29,CUST-7433,Wholesale,North,Fulfilled,1052.00
ORD-102703,2026-05-20,CUST-5328,Retail,North,Fulfilled,881.00
ORD-102834,2026-06-10,CUST-7309,Retail,,Fulfilled,1329.00
ORD-102473,2026-04-11,CUST-6273,Wholesale,West,Fulfilled,974.00
ORD-102129,2026-02-14,CUST-1475,Online,West,Fulfilled,953.00
ORD-100436,2025-06-14,CUST-1594,Online,North,Fulfilled,1782.00
ORD-102138,2026-02-16,CUST-2264,Wholesale,North,Cancelled,565.00
ORD-101731,2025-12-11,CUST-6383,Retail,South,Fulfilled,178.00
ORD-102900,2026-06-19,CUST-6503,Wholesale,West,Refunded,894.00
ORD-102371,2026-03-26,CUST-6473,Retail,South,Fulfilled,1317.00
ORD-101524,2025-11-17,CUST-6565,Retail,South,Refunded,326.00
ORD-101614,2025-11-28,CUST-8613,Wholesale,North,Fulfilled,452.00
ORD-101433,2025-11-07,CUST-8126,Wholesale,West,Fulfilled,567.00
ORD-102253,2026-03-07,CUST-3687,Wholesale,,Fulfilled,664.00
ORD-101647,2025-12-01,CUST-2878,Wholesale,South,Fulfilled,267.00
ORD-101713,2025-12-09,CUST-4406,Retail,North,Fulfilled,555.00
ORD-101180,2025-10-01,CUST-2814,Online,South,Cancelled,230.00
ORD-101684,2025-12-05,CUST-2429,Retail,West,Fulfilled,1261.00
ORD-102663,2026-05-14,CUST-7237,Retail,North,Fulfilled,484.00
ORD-102757,2026-05-28,CUST-2649,Online,,Fulfilled,483.00
ORD-102527,2026-04-20,CUST-3165,Online,East,Fulfilled,1982.00
ORD-100236,2025-05-10,CUST-3845,Wholesale,East,Fulfilled,952.00
ORD-101596,2025-11-25,CUST-9662,Retail,East,Fulfilled,645.00
ORD-101929,2026-01-04,CUST-1637,Wholesale,South,Refunded,1104.00
ORD-100118,2025-04-20,CUST-4718,Online,West,Fulfilled,1035.00
ORD-102073,2026-02-05,CUST-4553,Online,West,Fulfilled,594.00
ORD-100612,2025-07-11,CUST-5400,Retail,North,Refunded,957.00
ORD-101449,2025-11-09,CUST-2522,Retail,South,Refunded,679.00
ORD-102298,2026-03-14,CUST-3650,Wholesale,East,Refunded,754.00
ORD-100569,2025-07-05,CUST-5201,Wholesale,North,Cancelled,1576.00
ORD-102618,2026-05-06,CUST-1804,Wholesale,East,Fulfilled,1698.00
ORD-102328,2026-03-19,,Retail,East,Fulfilled,196.00
ORD-101176,2025-09-30,CUST-8958,Online,East,Fulfilled,246.00
ORD-102437,2026-04-05,CUST-8989,Online,East,Fulfilled,1796.00
ORD-100770,2025-08-01,CUST-9368,Retail,East,Fulfilled,111.00
ORD-102075,2026-02-06,CUST-2120,Retail,North,Fulfilled,691.00
ORD-101780,2025-12-17,CUST-2905,Retail,North,Fulfilled,603.00
ORD-100541,2025-07-01,CUST-8295,Wholesale,North,Fulfilled,299.00
ORD-102159,2026-02-19,CUST-9566,Retail,West,Fulfilled,1573.00
ORD-101065,2025-09-12,CUST-6583,Wholesale,South,Fulfilled,856.00
ORD-100235,2025-05-10,CUST-2302,Online,East,Refunded,551.00
ORD-101334,2025-10-25,CUST-3008,Retail,East,Refunded,572.00
ORD-101773,2025-12-16,CUST-9981,Online,North,Refunded,1173.00
ORD-101835,2025-12-23,CUST-6859,Wholesale,North,Fulfilled,596.00
ORD-101891,2025-12-29,CUST-7804,Retail,South,Fulfilled,417.00
ORD-101369,2025-10-30,CUST-5371,Wholesale,West,Fulfilled,196.00
ORD-102423,2026-04-03,CUST-9471,Wholesale,South,Fulfilled,1980.00
ORD-100495,2025-06-23,,Wholesale,South,Refunded,917.00
ORD-101693,2025-12-06,CUST-4627,Retail,West,Fulfilled,1167.00
ORD-100989,2025-08-30,CUST-5695,Retail,West,Fulfilled,764.00
ORD-101641,2025-11-30,CUST-9737,Wholesale,East,Fulfilled,442.00
ORD-100957,2025-08-26,CUST-2388,Online,East,Fulfilled,362.00
ORD-101236,2025-10-10,CUST-8745,Wholesale,North,Fulfilled,198.00
ORD-101208,2025-10-05,CUST-6462,Wholesale,West,Cancelled,251.00
ORD-101977,2026-01-15,CUST-9602,Wholesale,East,Cancelled,687.00
ORD-102228,2026-03-03,CUST-4349,Wholesale,South,Fulfilled,153.00
ORD-100745,2025-07-29,CUST-6335,Wholesale,North,Fulfilled,321.00
ORD-100943,2025-08-24,CUST-7123,Retail,East,Fulfilled,177.00
ORD-101465,2025-11-11,CUST-3383,Wholesale,North,Cancelled,765.00
ORD-100953,2025-08-26,CUST-1581,Wholesale,North,Fulfilled,1027.00
ORD-101301,2025-10-20,CUST-7593,Wholesale,East,Cancelled,176.00
